Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN KERJA-KERJA OPERASI DAN SELENGGARA DI KEDIAMAN RUMAH RASMI KETUA HAKIM NEGARA (JANUARI - MAC 2013),PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,MAHKAMAH PERSEKUTUAN MALAYSIA,JASAKON SDN. BHD.,99000.00,Penyeragaman,01/08/2013
PERMOHONAN KELULUSAN MELANTIK SYARIKAT VENTURE NUCLEUS (M) SDN BHD BAGI PERKHIDMATAN PENAMBAHBAIKAN UNTUK ACCESS CARD AND TIME ATTENDANCE SYSTEM (ACTAS) SECARA RUNDINGAN TERUS,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),VENTURE NUCLEUS (M) SDN. BHD.,74000.00,Penyeragaman,31/07/2013
PEROLEHAN SECARA RUNDINGAN TERUS BAGI MENYAMBUNG LANGGANAN PERKHIDMATAN BAHAN BERITA DARIPADA THOMSON REUTERS MALAYSIA SDN BHD BAGI TEMPOH TIGA (3) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,JABATAN PENYIARAN MALAYSIA,THOMSON REUTERS MALAYSIA SDN BHD,3656972.50,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/07/2013
PERMOHONAN UNTUK MEMBUAT RUNDINGAN TERUS UNTUK MENAIKTARAF TREK SINTETIK DAN PADANG STADIUM UNIVERSITI KEBANGSAAN MALAYSIA MENGGUNAKAN KOD PERUNTUKAN PKP4-AKAUN KHAS NAIK TARAF STADIUM UNIVERSITI BAGI TEMPOH DUA BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),TALENTTWO (M) SDN. BHD.,2590000.00,Keperluan Mendesak,19/07/2013
"PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN MEMBEKAL TIGA (3) UNIT MESIN MENANAM PADI JENIS MENUNGGANG DAN MENANAM BERBARIS 6 KE BAHAGIAN KEJURUTERAAN PERTANIAN, JABATAN PERTANIAN, JABATAN PERTANIAN SERDANG SECARA RUNDINGAN TERUS",BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,JABATAN PERTANIAN MALAYSIA,MINDA AGRIMACHINERY SDN BHD,144000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),07/07/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI MENAIKTARAF, MENGUJI DAN MENTAULIAH SATU (1) UNIT MESIN MAGNETIC RESONANCE IMAGING SYSTEM (MRI) JENAMA SIEMENS MODEL MAGNETOM SYMPHONY DI JABATAN PENGIMEJAN DIAGNOSTIK HOPITAL KUALA LUMPUR DENGAN SYARIKAT SIEMENS (M) SDN. BHD.",BEKALAN,KEMENTERIAN KESIHATAN,,SIEMENS MALAYSIA SDN. BHD.,190000.00,"Kepakaran, Penyeragaman, Keperluan Mendesak",05/07/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI KERJA PENYELENGGARAAN SISTEM STANDARD ACCOUNTING FOR GOVERNMENT AGENCIES  DI LEMBAGA KEMAJUAN PERTANIAN MUDA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN PERTANIAN MUDA (MADA),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,588000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",23/06/2013
PERMOHONAN KELULUSAN KEMENTERIAN KEWANGAN BAGI MELAKSANAKAN PROGRAM LATIHAN KEMAHIRAN BERFIKIR ARAS TINGGI (KBAT) KEPADA GURU MATEMATIK DAN SAINS BAGI TAHUN 2013 SECARA RUNDINGAN TERUS,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENDIDIKAN GURU,REGIONAL CENTRE FOR EDUCATION IN SCIENCE AND MATHEMATICS,1100000.00,Kepakaran,20/06/2013
PERMOHONAN KELULUSAN PELANTIKAN SYARIKAT PRESTARIANG SYSTEM SDN. BHD. UNTUK MENGENDALIKAN COMPTIA A+ DAN N+ DI CIAST,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,PRESTARIANG SYSTEMS SDN. BHD.,100000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),19/06/2013
PERMOHONAN KELULUSAN PEROLEHAN PERKHIDMATAN PENGURUSAN SEKURITI CONTENT FILTERING,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,GITN SDN. BERHAD,478800.00,Penyeragaman,19/06/2013
PERMOHONAN KELULUSAN BAGI MODUL TAMBAHAN STANDARD ACCOUNTING SYSTEM FOR GOVERNMENT AGENCIES (SAGA)  BAGI TEMPOH SELAMA EMPAT (4) BULAN MULAI 11 MEI 2016 HINGGA 4 OGOS 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERTUBUHAN PELADANG (LPP),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,77500.00,PENYERAGAMAN,05/04/2016
PELAKSANAAN LATIHAN BAGI BAREFOOT LEADERSHIP CIRCLES 5.0 ATAU PROGRAM PEMBANGUNAN KEPIMPINAN STRATEGIK &AMP; PELAN PENGGANTIAN MITI,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,"BAHAGIAN SUMBER MANUSIA, KEWANGAN &AMP; TEKNOLOGI MAKLUMAT",STORY CIRCLE,250000.00,PENYERAGAMAN,25/03/2016
