Tajuk Tender,Nombor Tender,Kategori Perolehan,Kementerian,Agensi,Petender Berjaya,Nombor Daftar Syarikat,No Daftar MOF/PKK,Harga Setuju
"CADANGAN PEMBANGUNAN SEMULA DI KEM PASUKAN GERAKAN AM (PGA) BATALION 5 DI ATAS LOT 3122, MUKIM SIMPANG RENGGAM, DAERAH KLUANG, JOHOR DARUL TAKZIM. PAKEJ 1,2&3.",,PERKHIDMATAN PERUNDING,KEMENTERIAN KEWANGAN MALAYSIA,PEMBINAAN BLT SDN BHD (PBLT),ZNVA & ASSOCIATES SDN. BHD.,806677-M,465-00010193,302000.00
"PROJEK PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TAMAN ALAM, KUALA SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),AZLAN CONSULTING,001604908-T,465-02024362,136826.01
"PROJEK PENINGKATAN KEMUDAHAN PELANCONGAN DI KAWASAN TAMAN ALAM, KUALA SELANGOR",,PERKHIDMATAN PERUNDING,JABATAN PERDANA MENTERI (JPM),PEJABAT PEMBANGUNAN NEGERI SELANGOR (ICU JPM),NOORHASHIMA N NOORDIN ARCHITECT,SP/N 88,465-02001908,118517.53
BAIK PULIH JALAN DARI PEKAN GENTING KE BALIK PULAU DAN   DARI BAYAN LEPAS KE BALIK PULAU/ TELUK KUMBAR,,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN PENGKALAN UDARA DAN MARITIM,JURUTERA PERUNDING FAJAR SDN. BHD.,489066-X,465-00001728,9424706.80
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SUB-SERANTAU UPPER KERAYONG, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,JURUTERA PERUNDING ZAABA SDN BHD,306236-U,465-00000761,4845047.00
"PERKHIDMATAN PERUNDINGAN BAGI PROJEK PEMBINAAN LOJI RAWATAN KUMBAHAN SERANTAU CHERAS JAYA, SELANGOR",,PERKHIDMATAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,SMHB SDN BHD,63281-X,465-00000186,2629704.27
"MENYIAPKAN KERJA-KERJA TERTINGGAL BAGI MEMBINA JALAN BARU DARI LEBUHRAYA SEREMBAN/PD KE FR 5 FI PASIR PANJANG DAN MENAIKTARAF FR 5 DARI PASIR PANJANG KE LINGGI, NEGERI SEMBILAN (SEKSYEN 2)",,PERKHIDMATAN PERUNDING,KEMENTERIAN KERJA RAYA,BAHAGIAN PEMBANGUNAN DAN PENSWASTAAN (KKR),KL PRIMA CONSULT SDN BHD,363216-D,465-00000945,4046620.34
"REKABENTUK TERPERINCI PROJEK PEMBANGUNAN SISTEM PENGAIRAN PERTANIAN DAN KAWALAN BANJIR DI TASIK TITI TINGGI, PADANG BESAR, PERLIS",,PERKHIDMATAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,BAHAGIAN PENGAIRAN DAN SALIRAN PERTANIAN,PERUNDING BAKTI SDN BHD,22953-M,465-00000011,299600.00
"CADANGAN MEMBINA DAN MENYIAPKAN SEKOLAH KEBANGSAAN PENDIDIKAN KHAS (BUTA) DAN KEMUDAHAN BERKAITAN DI KUCHING, SARAWAK UNTUK KEMENTERIAN PELAJARAN MALAYSIA",,PERKHIDMATAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEMBANGUNAN,KONSORTIUM BUMI CONSULTANTS AND SERVICES SDN BHD,739586-U,465-02021722,1039949.55
"CADANGAN PEMBINAAN BANGUNAN BARU IBU PEJABAT POLIS DAERAH (IPD) JELI, KELANTAN.",,PERKHIDMATAN PERUNDING,JABATAN KERJA RAYA MALAYSIA (JKR),JKR CAWANGAN KEJURUTERAAN MEKANIKAL,PERWIRA AL SHURA CONSULTING ENGINEERS SDN BHD,275931 D,465-00000098,1403166.70
